date,time_gmt,summary,venue
2025-11-01,15:10,England v Australia,"Allianz Stadium, Twickenham"
2025-11-01,16:10,South Africa v Japan,"Wembley Stadium, London"
2025-11-01,17:40,Scotland v USA,"Scottish Gas Murrayfield Stadium, Edinburgh"
2025-11-01,20:00,Ireland v New Zealand,"Soldier Field, Chicago"
2025-11-08,12:40,Ireland v Japan,"Aviva Stadium, Dublin"
2025-11-08,15:10,Scotland v New Zealand,"Scottish Gas Murrayfield Stadium, Edinburgh"
2025-11-08,17:40,England v Fiji,"Allianz Stadium, Twickenham"
2025-11-08,17:40,Italy v Australia,"Bluenergy Stadium, Udine"
2025-11-08,20:10,France v South Africa,"Stade de France, Paris"
2025-11-09,15:10,Wales v Argentina,"Principality Stadium, Cardiff"
2025-11-15,12:40,Italy v South Africa,"Allianz Stadium, Turin"
2025-11-15,15:10,England v New Zealand,"Allianz Stadium, Twickenham"
2025-11-15,17:40,Wales v Japan,"Principality Stadium, Cardiff"
2025-11-15,20:10,France v Fiji,"Stade Atlantique Bordeaux Metropole, Bordeaux"
2025-11-15,20:10,Ireland v Australia,"Aviva Stadium, Dublin"
2025-11-16,15:10,Scotland v Argentina,"Scottish Gas Murrayfield Stadium, Edinburgh"
2025-11-22,15:10,Wales v New Zealand,"Principality Stadium, Cardiff"
2025-11-22,17:40,Ireland v South Africa,"Aviva Stadium, Dublin"
2025-11-22,20:10,France v Australia,"Stade de France, Paris"
2025-11-22,20:10,Italy v Samoa,"Stadio Luigi Ferraris, Genoa"
2025-11-23,13:40,Scotland v Tonga,"Scottish Gas Murrayfield Stadium, Edinburgh"
2025-11-23,16:10,England v Argentina,"Allianz Stadium, Twickenham"
2025-11-29,15:10,Wales v South Africa,"Principality Stadium, Cardiff"
