uid,tournament,season,stage,home,away,home_placeholder,away_placeholder,venue,kickoff_utc,date_local,status,score,source_url
rwc-2027-pool-a-australia-v-hong-kong@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool A,Australia,Hong Kong,0,0,"Perth Stadium, Perth",2027-10-01T10:45:00+00:00,2027-10-01,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-a-new-zealand-v-chile@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool A,New Zealand,Chile,0,0,"Perth Stadium, Perth",2027-10-02T05:15:00+00:00,2027-10-02,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-a-new-zealand-v-australia@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool A,New Zealand,Australia,0,0,"Stadium Australia, Sydney",2027-10-09T06:10:00+00:00,2027-10-09,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-a-chile-v-hong-kong@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool A,Chile,Hong Kong,0,0,"North Queensland Stadium, Townsville",2027-10-09T10:15:00+00:00,2027-10-09,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-a-new-zealand-v-hong-kong@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool A,New Zealand,Hong Kong,0,0,"Docklands Stadium, Melbourne",2027-10-15T06:15:00+00:00,2027-10-15,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-a-australia-v-chile@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool A,Australia,Chile,0,0,"Brisbane Stadium, Brisbane",2027-10-16T05:10:00+00:00,2027-10-16,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-b-south-africa-v-italy@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool B,South Africa,Italy,0,0,"Adelaide Oval, Adelaide",2027-10-03T03:45:00+00:00,2027-10-03,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-b-georgia-v-romania@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool B,Georgia,Romania,0,0,"North Queensland Stadium, Townsville",2027-10-03T10:15:00+00:00,2027-10-03,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-b-south-africa-v-georgia@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool B,South Africa,Georgia,0,0,"Brisbane Stadium, Brisbane",2027-10-10T06:45:00+00:00,2027-10-10,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-b-italy-v-romania@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool B,Italy,Romania,0,0,"Sydney Football Stadium, Sydney",2027-10-11T08:45:00+00:00,2027-10-11,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-b-italy-v-georgia@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool B,Italy,Georgia,0,0,"Newcastle Stadium, Newcastle",2027-10-17T01:15:00+00:00,2027-10-17,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-b-south-africa-v-romania@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool B,South Africa,Romania,0,0,"Perth Stadium, Perth",2027-10-17T11:15:00+00:00,2027-10-17,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-c-fiji-v-spain@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool C,Fiji,Spain,0,0,"Newcastle Stadium, Newcastle",2027-10-04T03:15:00+00:00,2027-10-04,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-c-argentina-v-canada@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool C,Argentina,Canada,0,0,"Brisbane Stadium, Brisbane",2027-10-04T08:45:00+00:00,2027-10-04,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
