uid,tournament,season,stage,home,away,home_placeholder,away_placeholder,venue,kickoff_utc,date_local,status,score,source_url
six-nations-2027-round-1-ireland-v-england@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 1,Ireland,England,0,0,"Aviva Stadium, Dublin",2027-02-05T20:10:00+00:00,2027-02-05,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-1-scotland-v-italy@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 1,Scotland,Italy,0,0,"Scottish Gas Murrayfield, Edinburgh",2027-02-06T14:10:00+00:00,2027-02-06,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-1-france-v-wales@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 1,France,Wales,0,0,"Stade de France, Paris",2027-02-06T16:40:00+00:00,2027-02-06,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-2-italy-v-ireland@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 2,Italy,Ireland,0,0,"Stadio Olimpico, Rome",2027-02-13T14:10:00+00:00,2027-02-13,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-2-scotland-v-wales@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 2,Scotland,Wales,0,0,"Scottish Gas Murrayfield, Edinburgh",2027-02-13T16:40:00+00:00,2027-02-13,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-2-england-v-france@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 2,England,France,0,0,"Allianz Stadium, Twickenham",2027-02-14T15:10:00+00:00,2027-02-14,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-3-wales-v-ireland@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 3,Wales,Ireland,0,0,"Principality Stadium, Cardiff",2027-02-20T14:10:00+00:00,2027-02-20,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-3-england-v-italy@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 3,England,Italy,0,0,"Allianz Stadium, Twickenham",2027-02-20T16:40:00+00:00,2027-02-20,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-3-france-v-scotland@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 3,France,Scotland,0,0,"Stade de France, Paris",2027-02-21T15:10:00+00:00,2027-02-21,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-4-scotland-v-ireland@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 4,Scotland,Ireland,0,0,"Scottish Gas Murrayfield, Edinburgh",2027-03-05T20:10:00+00:00,2027-03-05,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-4-italy-v-france@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 4,Italy,France,0,0,"Stadio Olimpico, Rome",2027-03-06T14:10:00+00:00,2027-03-06,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-4-wales-v-england@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 4,Wales,England,0,0,"Principality Stadium, Cardiff",2027-03-06T16:40:00+00:00,2027-03-06,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-5-italy-v-wales@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 5,Italy,Wales,0,0,"Stadio Olimpico, Rome",2027-03-13T14:10:00+00:00,2027-03-13,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-5-england-v-scotland@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 5,England,Scotland,0,0,"Allianz Stadium, Twickenham",2027-03-13T16:40:00+00:00,2027-03-13,scheduled,,https://www.six-nations-guide.co.uk/2027/
six-nations-2027-round-5-ireland-v-france@rugby-calendars.ashbridgewater.github.io,six_nations,2027,ROUND 5,Ireland,France,0,0,"Aviva Stadium, Dublin",2027-03-13T20:10:00+00:00,2027-03-13,scheduled,,https://www.six-nations-guide.co.uk/2027/
